Unnamed: 0,review_profile_name,review_rating,review_title,review_body,review_context,review_link,review_id,Place,Date,sentiment_label,cleaned_review_body,lemma_review_body,forAnalysis,predicted_sentiment,predicted_sentiment_score,predicted_emotions,emotion,cons_list
22,Amazon Customer,2,Doubtful,Seals were teared but only stricker was put. I don't know whether it is new or refurbished but it's working 😕😕😕.,Reviewed in India on 21 July 2024,/gp/customer-reviews/R2QYG29TK95ACF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,23,India,21-07-2024,NEGATIVE,seals teared only stricker put know whether new refurbished working,seal tear only stricker put know whether new refurbish work,True,NEGATIVE,0.9971822500228882,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': 0.7610243558883667, 'sadness': None, 'surprise': None}",['neutral'],"['Seals were torn', 'Only a stickier replaced the seal, not sure if brand new/refurbished', 'Uncertain about product condition and authenticity']"
23,Amazon Customer,2,My device is not working need help,My device is not working (switched off)Iam not able to download Invoice and warranty documentHow can I get itService center asking the document,Reviewed in India on 14 February 2024,/gp/customer-reviews/R2TDE5OQNJ9WJR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,24,India,14-02-2024,NEGATIVE,my device not working switched off iam not able download invoice warranty documenthow get itservice center asking document,my device not work switch off iam not able download invoice warranty documenthow get itservice center ask document,True,NEGATIVE,0.9994975328445436,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.8438498377799988, 'surprise': None}",['sadness'],"['Device switches off unexpectedly during use, preventing work or tasks from being completed on time.', 'The inability to access necessary documents such as an invoice for services rendered due to system malfunctions like switching off.', 'A potential issue with downloading essential warranty information which is crucial for understanding the terms and conditions of product support and repairs.', 'Difficulties faced when trying to retrieve important paperwork from service centers, possibly requiring physical visits or additional verification steps due to security measures in place at such facilities.']"
24,Amazon Customer,2,Discolouration around camera,"I bought the Midnight colour and Phone is working fine, but there is a white discolouration around the camera lenses. I contacted Amazon and they denied my replacement request said they want service denial letter from Apple to get it replaced .",Reviewed in India on 11 October 2023,/gp/customer-reviews/R1IBP737TXAGCU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,25,India,11-10-2023,NEGATIVE,bought midnight colour phone working fine white discolouration around camera lenses contacted amazon denied my replacement request said want service denial letter apple get replaced,buy midnight colour phone work fine white discolouration around camera lense contact amazon deny my replacement request say want service denial letter apple get replace,True,NEGATIVE,0.9992290735244752,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.7790807485580444, 'surprise': None}",['sadness'],"['White discoloration around the camera lenses', 'Difficulty in getting product replacement due to needing a service denial letter from Apple']"
25,Amazon Customer,2,Overrated,Touchpad is not working properly. Apple is a overrated phone. It has very less options.,Reviewed in India on 24 June 2023,/gp/customer-reviews/RBRKP5II8ZPHG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,26,India,24-06-2023,NEGATIVE,touchpad not working properly apple overrated phone less options,touchpad not work properly apple overrate phone less option,True,NEGATIVE,0.9994843006134032,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",[],"['Touchpad issue', 'Limited options for iPhone models from Apple']"
26,Amazon Customer,2,"Great product, poor customer service","The phone is great, the problem i faced is incorrect serial number in the invoice. Have been contacting customer service for more than a month, still not sorted! Would recommend everyone to check the serial number in the invoice with the actual product",Reviewed in India on 21 October 2022,/gp/customer-reviews/R2ZWYDG0EHQY8E/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,27,India,21-10-2022,NEGATIVE,phone great problem faced incorrect serial number in invoice contacting customer service for than month still not sorted would recommend everyone check serial number in invoice with actual product,phone great problem face incorrect serial number in invoice contact customer service for than month still not sorted would recommend everyone check serial number in invoice with actual product,True,NEGATIVE,0.9993625283241272,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",[],"['Incorrect serial number on the invoice', 'Difficulty reaching Customer Service and slow response time (over a month)', 'Recommendation for customers to verify their own purchases due to potential issues.']"
27,Amazon Customer,1,Received with broken seal,Received iPhone 13 with broken seal,Reviewed in India on 21 June 2024,/gp/customer-reviews/R39D131A4R0DJJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,28,India,21-06-2024,NEGATIVE,received iphone 13 with broken seal,receive iphone 13 with broken seal,True,NEGATIVE,0.9993608593940736,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.7411872744560242, 'surprise': None}",['sadness'],['Broken seal on package or device upon arrival.']
28,Amazon Customer,1,"Heating and poor performance, slow system as well","Heating , sounds not goodOnly name and brand practical experience very poorPeople buying for status only… this is the practical experience with 90% users",Reviewed in India on 10 May 2024,/gp/customer-reviews/R2VLPU8U1AKTIM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,29,India,10-05-2024,NEGATIVE,heating sounds not goodonly name brand practical experience poorpeople buying for status only practical experience with 90 users,heating sound not goodonly name brand practical experience poorpeople buying for status only practical experience with 90 user,True,NEGATIVE,0.9994840621948242,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.7068493962287903, 'surprise': None}",['sadness'],"['Poor heating performance', 'Unsatisfactory sound quality', 'Status symbol purchase rather than product value', 'Negative experiences reported by a majority of users (90%)']"
30,Amazon Customer,1,Overheating Issue,"This phone is overheating while charging also it produce heat when we use in normal tasks,I don't know why this happening but there's is no support from Apple and when we click on replace button, it shows contact to the manufacturer, And when we trying to contact apple manufacturer by calling it show this number is not reachableI'm totally disappointed from this type of service .",Reviewed in India on 16 October 2023,/gp/customer-reviews/RII31RUSQEKKD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,31,India,16-10-2023,NEGATIVE,phone overheating charging also produce heat use in normal tasks know happening no support apple click on replace button shows contact manufacturer trying contact apple manufacturer by calling show number not reachablei m totally disappointed type service,phone overheat charging also produce heat use in normal task know happen no support apple click on replace button show contact manufacturer try contact apple manufacturer by call show number not reachablei m totally disappointed type service,True,NEGATIVE,0.9995056390762328,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.8869948983192444, 'surprise': None}",['sadness'],"['Phone overheating while charging.', 'Produces heat during normal tasks.', 'Lack of support from Apple.', 'Unreachable customer service phone number when calling for assistance.']"
31,Amazon Customer,1,Digital heater after five minutes of use,Apple digital heater delivered and after deliveryapple is not responding and not taking any responsibility to cool down the heaterMy phone heating issue is not resolved by apple and seller has no options to return back. So please read all the warning before purchasing this product and do not waste your money on apple products,Reviewed in India on 16 October 2023,/gp/customer-reviews/R3E3K3OVJEG6YM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,32,India,16-10-2023,NEGATIVE,apple digital heater delivered after deliveryapple not responding not taking any responsibility cool heatermy phone heating issue not resolved by apple seller no options return back please read all warning before purchasing product not waste money on apple products,apple digital heater deliver after deliveryapple not respond not take any responsibility cool heatermy phone heating issue not resolve by apple seller no option return back please read all warning before purchase product not waste money on apple product,True,NEGATIVE,0.9995055198669434,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.7626667618751526, 'surprise': None}",['sadness'],"['Heating issues with Apple digital heater that are not responding after delivery.', 'Lack of customer service response from both Apple and the seller regarding cool down or return options for malfunctioning device.', ""No resolution to phone's pre"", 'existing overheating problem despite purchase, suggesting poor product quality/customer support.', 'Recommendation not to waste money on purchasing products based on negative experience with customer service responsiveness and potential lack of warranty fulfillment or return policies for defective items.']"
32,Amazonnnnn,2,iOS is bad,"Not easy to use. it gets hot with charging, the battery life is poor, and it hangs. Very disappointed.",Reviewed in India on 29 November 2023,/gp/customer-reviews/R1B9SSWF3ZXO5L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,33,India,29-11-2023,NEGATIVE,not easy use gets hot with charging battery life poor hangs disappointed,not easy use get hot with charge battery life poor hang disappointed,True,NEGATIVE,0.999500036239624,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.9417819380760193, 'surprise': None}",['sadness'],"['Not user', 'friendly interface', 'Overheats during charging', 'Poor battery performance', 'Software instability (hangs)']"
33,Amek,4,Flip camera option nill,"I tried to flip camera while recording but no facility is added here. You have to pause first then you can flip from back to front or vice versa it means you can't continue it, very awkward position. Iphone software should be upgraded so that we can make it go. It's very essential for a content creator. I purchased gimbal dji om se but it could not provided that, it's very essential for a vlogger but I was fed up after finding the basic requirements wasn't built in these products !",Reviewed in India on 14 May 2024,/gp/customer-reviews/R3Y7TPOGMY40P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,34,India,14-05-2024,POSITIVE,tried flip camera recording no facility added pause first flip back front vice versa means continue awkward position iphone software upgraded make go essential for content creator purchased gimbal dji om se could not provided essential for vlogger fed after finding basic requirements wasn built in products,try flip camera recording no facility add pause first flip back front vice versa mean continue awkward position iphone software upgrade make go essential for content creator purchase gimbal dji om se could not provide essential for vlogger fed after find basic requirement wasn build in product,True,NEGATIVE,0.9994261264801024,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",[],"['No facility to flip camera while recording without pausing first; awkward position.', 'iPhone software should be upgraded for continuous motion control during recordings.', 'Basic features required by content creators not included in gimbal DJI OM SE product.']"
39,Ananya,1,Very bad,"I’m disappointed with the iPhone 13. It heats up a lot while charging, and the battery life isn’t as good as advertised. Also, it’s pricey for what it offers.",Reviewed in India on 23 March 2024,/gp/customer-reviews/R1B6EZH64E1KW5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,40,India,23-03-2024,NEGATIVE,m disappointed with iphone 13 heats lot charging battery life isn good advertised also pricey for offers,m disappointed with iphone 13 heat lot charge battery life isn good advertise also pricey for offer,True,NEGATIVE,0.9995031356811525,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.8712643384933472, 'surprise': None}",['sadness'],"['Heats up significantly during charging', 'Battery life does not meet expectations based on advertisements', 'Considered expensive relative to its features and offerings']"
41,Ankit,1,Worst Product. Extremely bad customer service,"Pathetic experience... Unable to hear any sound WhatsApp doesn't work, Facetime doesn't work, regular calling doesn't work. No response / assistance provided by Apple team.Regret to purchase.Waste of so much money in buying this useless device.",Reviewed in India on 14 April 2024,/gp/customer-reviews/R1KN63BUYA3QDC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,42,India,14-04-2024,NEGATIVE,pathetic experience unable hear any sound whatsapp doesn work facetime doesn work regular calling doesn work no response assistance provided by apple team regret purchase waste much money in buying useless device,pathetic experience unable hear any sound whatsapp doesn work facetime doesn work regular call doesn work no response assistance provide by apple team regret purchase waste much money in buy useless device,True,NEGATIVE,0.9995040893554688,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.9664533138275146, 'surprise': None}",['sadness'],"['Sound issues with all forms of communication (WhatsApp not working)', 'Inability to hear sound during calls on FaceTime and regular calling mode', 'Lack of response or assistance from Apple team after the purchase was made', ""Regret over purchasing decision due to device's uselessness in functionality"", 'Perception that a lot of money has been wasted by buying this product']"
42,Ankit Bisht,1,Heating issues,Phone is heating up in a normal day to day use. When using camera tempreture gets too high. When I called Amazon for support they ask me to contact the manufacturer. Now I am having to visit service centre for thisnew iphone for which I spent 49k approx. Please do not buy I have no idea what they are selling and manfacturing,Reviewed in India on 14 October 2023,/gp/customer-reviews/R18CSRI61TIQVL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,43,India,14-10-2023,NEGATIVE,phone heating in normal day day use using camera tempreture gets high called amazon for support ask contact manufacturer visit service centre for thisnew iphone for spent 49k approx please not buy no idea selling manfacturing,phone heating in normal day day use use camera tempreture get high call amazon for support ask contact manufacturer visit service centre for thisnew iphone for spent 49k approx please not buy no idea sell manfacture,True,NEGATIVE,0.999476969242096,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",[],"['Phone heating up during normal use', 'Camera temperature getting too high', 'Amazon support redirecting to manufacturer contact only', ""Having to visit service center for iPhone repair or replacement, costing approximately Rs. 49,00 end user's expense and time""]"
44,Ankur Sharma,4,Battery issue,Battery quality is bad and hence didn’t last long even though using social media and no gaming at all,Reviewed in India on 24 May 2024,/gp/customer-reviews/R3813BGRHUV8O4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,45,India,24-05-2024,POSITIVE,battery quality bad hence didn last long even though using social media no gaming all,battery quality bad hence didn last long even though use social medium no gaming all,True,NEGATIVE,0.9994943141937256,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",[],"['Poor battery life despite minimal usage', 'Bad overall build quality suggesting durability issues as well']"
45,anne,2,Should have went to a store,People warned me not buy electronics online. Should have listened.I've been an iPhone user since iPhone 3G. Always purchased at store. This one started showing little kinks right off the bat.The quality doesn't feel same as my other Apple products.,Reviewed in India on 30 October 2022,/gp/customer-reviews/R2SRM7Y6PC2J11/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,46,India,30-10-2022,NEGATIVE,people warned not buy electronics online listened ve iphone user since iphone 3g always purchased store one started showing little kinks right off bat quality doesn feel same my other apple products,people warn not buy electronic online listen ve iphone user since iphone 3 g always purchase store one start show little kink right off bat quality doesn feel same my other apple product,True,NEGATIVE,0.9993976354599,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",[],"['Started showing issues immediately after purchase', 'Quality feels different from previous Apple products', 'Recommendations to buy electronics in person were ignored, leading to potential dissatisfaction with online purchases more broadly']"
46,Anshit,1,Worst Experience with Iphone,"Sold the phone on OLX after 6 monthsConsSummary============1. Bad notification center and management2. No back button3. Not able to pick calls sometime4. Worst file manager5. Poor keyboard auto-correct6. No credit card, tap and pay featureDetailed===============1. The notification center can become overwhelming, often leading to many unread notifications that can be easily missed.2. The absence of a back gesture makes navigation less intuitive and can be frustrating for users accustomed to this feature on other devices.3. The camera struggles to focus on small text, making it difficult to capture clear images of detailed documents or fine print.4. When the phone is locked, there's no option to decline incoming calls, which can be inconvenient in various situations.5. The phone's file sharing capabilities are restricted, offering fewer options compared to other devices, which can hinder productivity and convenience.6. The built-in file manager lacks functionality, particularly with no support for app-linked folders, making file organization and access cumbersome.7. Syncing with Google apps, especially Google Drive, isn't seamless and offers limited options, affecting the overall user experience and productivity for those who rely heavily on these services.8. The keyboard's autocorrect feature is always inaccurate and frustrating to use, making it advisable to switch it off for a better typing experience.9. The app placement on the home screen is terrible on the iPhone. Thanks for the update in iOS 18.10. No option to add credit or debit cards on Apple wallet or Google Pay for tap and pay feature. Available in all android devices.Pros===========1. No lag, every thing happens like snap2. Camera is so good4. Face id makes life easier.5. Haptics are excellent.6. Display is awesome.",Reviewed in India on 27 July 2024,/gp/customer-reviews/R1WXEWZMEADU48/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,47,India,27-07-2024,NEGATIVE,sold phone on olx after 6 monthsconssummary 1 bad notification center management2 no back button3 not able pick calls sometime4 worst file manager5 poor keyboard auto correct6 no credit card tap pay featuredetailed 1 notification center become overwhelming leading many unread notifications easily missed 2 absence back gesture makes navigation less intuitive frustrating for users accustomed feature on other devices 3 camera struggles focus on small text making difficult capture clear images detailed documents fine print 4 phone locked no option decline incoming calls inconvenient in various situations 5 phone file sharing capabilities restricted offering fewer options compared other devices hinder productivity convenience 6 built in file manager lacks functionality particularly with no support for app linked folders making file organization access cumbersome 7 syncing with google apps especially google drive isn seamless offers limited options affecting overall user experience productivity for rely heavily on services 8 keyboard autocorrect feature always inaccurate frustrating use making advisable switch off for better typing experience 9 app placement on home screen terrible on iphone thanks for update in ios 18 10 no option add credit debit cards on apple wallet google pay for tap pay feature available in all android devices pros 1 no lag every thing happens like snap2 camera good4 face id makes life easier 5 haptics excellent 6 display awesome,sell phone on olx after 6 monthsconssummary 1 bad notification center management2 no back button3 not able pick call sometime4 bad file manager5 poor keyboard auto correct6 no credit card tap pay featuredetaile 1 notification center become overwhelming lead many unread notification easily miss 2 absence back gesture make navigation less intuitive frustrating for user accustom feature on other device 3 camera struggle focus on small text make difficult capture clear image detailed document fine print 4 phone lock no option decline incoming call inconvenient in various situation 5 phone file share capability restrict offer few option compare other device hinder productivity convenience 6 build in file manager lack functionality particularly with no support for app link folder make file organization access cumbersome 7 sync with google app especially google drive isn seamless offer limited option affect overall user experience productivity for rely heavily on service 8 keyboard autocorrect feature always inaccurate frustrating use make advisable switch off for well type experience 9 app placement on home screen terrible on iphone thank for update in io 18 10 no option add credit debit card on apple wallet google pay for tap pay feature available in all android device pro 1 no lag every thing happen like snap2 camera good4 face i d make life easy 5 haptic excellent 6 display awesome,True,NEGATIVE,0.9994950294494628,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.7362154126167297, 'surprise': None}",['sadness'],"['Bad notification center and management', 'Absence of a back button', 'Inability to pick up calls sometimes when the phone is locked', 'Worst file manager with limited options for app', 'linked folders', 'Poor keyboard auto', 'correct functionality', 'Lack of credit card, tap and pay feature on iOS devices']"
