,review_profile_name,review_rating,review_title,review_body,review_context,review_link,review_id,Place,Date,sentiment_label,cleaned_review_body,lemma_review_body,forAnalysis,predicted_sentiment,predicted_sentiment_score,predicted_emotions,emotion
10,Aditya,4,Good,"As everyone knows it is very Good mobile, but how ever you use battery health percentage will keep decreasing, for me this only issue with iphones",Reviewed in India on 11 April 2024,/gp/customer-reviews/R1NZ5KF4I1Q2FK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,11,India,11-04-2024,POSITIVE,everyone knows good mobile how ever use battery health percentage keep decreasing for only issue with iphones,everyone know good mobile how ever use battery health percentage keep decrease for only issue with iphone,True,NEGATIVE,0.9889748096466064,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': 0.7416539192199707, 'sadness': None, 'surprise': None}",neutral
11,Aditya,1,I phone 13 stopped working within a month.,"My phone stopped working within a month. It was giving nice battery back up, cameras were good everything was fine then suddenly one day phone starts heating, It was so hot that i was unable to touch it at the same time battery was also draining very fast 1% in every 10 seconds. Then eventually phone became dead. Today I left the phone at service center and I am not sure whether issue will be resolved or not. But it was a very bad experience buying an apple product first time. I don't know it happens with only online products or offline products too. But really feeling disappointed today.. Apple is not apple anymore.",Reviewed in India on 11 November 2023,/gp/customer-reviews/R1A0J4V2RWJMGG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,12,India,11-11-2023,NEGATIVE,my phone stopped working within month giving nice battery back cameras good everything fine suddenly one day phone starts heating hot unable touch same time battery also draining fast 1 in every 10 seconds eventually phone became dead today left phone service center not sure whether issue resolved not bad experience buying apple product first time know happens with only online products offline products really feeling disappointed today apple not apple anymore,my phone stop work within month give nice battery back camera good everything fine suddenly one day phone start heat hot unable touch same time battery also drain fast 1 in every 10 second eventually phone become dead today leave phone service center not sure whether issue resolve not bad experience buy apple product first time know happen with only online product offline product really feel disappointed today apple not apple anymore,True,NEGATIVE,0.9995095729827881,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.9763761758804321, 'surprise': None}",sadness
12,Adnan,2,Phone is very good,I order 9 oct and receive 20 oct to late delivery from Amazon,Reviewed in India on 20 October 2023,/gp/customer-reviews/R1S1UBQSI0H13R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,13,India,20-10-2023,NEGATIVE,order 9 oct receive 20 oct late delivery amazon,order 9 oct receive 20 oct late delivery amazon,True,NEGATIVE,0.9992765784263611,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",
13,Aijazkhan,5,Ios,Good quality features 👍,Reviewed in India on 5 July 2024,/gp/customer-reviews/R1HXYFT2TA1K4J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,14,India,05-07-2024,POSITIVE,good quality features,good quality feature,True,POSITIVE,0.9988666772842407,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': 0.9100189208984375, 'sadness': None, 'surprise': None}",neutral
14,Aishwarya Narayanan,1,Super Disappointed: Completely stopped working after 1.5 years,"This was my first iPhone purchase and it was working fine for 1.5 years - although I had complains about the battery life which kept getting worse with time to the point that I had to carry a power bank with me always.Randomly one day out of the blue, the phone crashed & now it's not turning on - when I took it to the service centre they said it's due to motherboard issue and it will cost us 40k to replace it. My phone is prime condition, I have not dropped it, there is not even a scratch on it. I wonder how there can be a hardware issue while it was working fine just few moments before crash. Also, this happened a few days after I installed iOS 17 - so that is also a suspect.",Reviewed in India on 3 October 2023,/gp/customer-reviews/RY07A1820TUVO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,15,India,03-10-2023,NEGATIVE,my first iphone purchase working fine for 1 5 years although complains about battery life kept getting worse with time point carry power bank with always randomly one day out blue phone crashed not turning on took service centre said due motherboard issue cost us 40k replace my phone prime condition not dropped not even scratch on wonder how hardware issue working fine moments before crash also happened days after installed ios 17 also suspect,my first iphone purchase working fine for 1 5 year although complain about battery life keep get bad with time point carry power bank with always randomly one day out blue phone crash not turn on take service centre say due motherboard issue cost we 40k replace my phone prime condition not drop not even scratch on wonder how hardware issue work fine moment before crash also happen day after instal io 17 also suspect,True,NEGATIVE,0.9984989166259766,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': 0.8121306300163269}",surprise
15,Ajay kro,4,My favorite 😍💕,Nice phone delivered,Reviewed in India on 5 May 2024,/gp/customer-reviews/R3RLBT6089202/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,16,India,05-05-2024,POSITIVE,nice phone delivered,nice phone deliver,False,POSITIVE,0.9987921118736267,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",
16,Ajay Kumar,2,Adaptor didnot work,"Adaptor supplied with it was not working, when taken to authorized service center they said the adaptor was fake.Do not bur adaptor with it.",Reviewed in India on 27 June 2023,/gp/customer-reviews/R1SESHPIVEXJMH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,17,India,27-06-2023,NEGATIVE,adaptor supplied with not working taken authorized service center said adaptor fake not bur adaptor with,adaptor supply with not work take authorize service center say adaptor fake not bur adaptor with,True,NEGATIVE,0.9994572997093201,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",
17,Akshay Mokashi,5,Awesome,Amazing design on the iPhone 13! It looks so sleek and stylish. The performance is also top-notch.,Reviewed in India on 8 October 2023,/gp/customer-reviews/R35BGB3PKZS1Z4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,18,India,08-10-2023,POSITIVE,amazing design on iphone 13 looks sleek stylish performance also top notch,amazing design on iphone 13 look sleek stylish performance also top notch,True,POSITIVE,0.9988507032394409,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",
18,Aman Singh,4,Delivery was late it's take 6 days but delivery person is to good,Delivery was late it's take 6 days to come but delivery person i very good i seee lots of bad rating on this seller after order i think I'll choose wrong seller but appario is doing good my phone comes under good quality i check everything Amazon give me open box delivery at that timePros :- camera was osmBattery backup is also good if you charge one time or you use heavy it's provided 7+ hr chargeCinematic mood is also to goodStar light colour is osmDelivery person is to goodNight photo is also good20 watt charge is also doing good job it's take less time to chargeCons :- you can't take WhatsApp chat back-up on iPhoneYou can't listen music or download movie via any app no matter whatever it isYou can't go open anything in iPhone likeAndroid if you dont use apple earlier or you are a new user you hate it first time but after that's you loved it but Android is always best for everythingThanks appario for good offer i purchased on valentine's offer only in 61499 rs thanks,Reviewed in India on 27 February 2023,/gp/customer-reviews/R1E4T5SFDI5KXH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,19,India,27-02-2023,POSITIVE,delivery late take 6 days come delivery person good seee lots bad rating on seller after order think ll choose wrong seller appario good my phone comes under good quality check everything amazon give open box delivery timepros camera osmbattery backup also good charge one time use heavy provided 7 hr chargecinematic mood also goodstar light colour osmdelivery person goodnight photo also good20 watt charge also good job take less time chargecons take whatsapp chat back on iphoneyou listen music download movie via any app no matter whatever isyou go open anything in iphone likeandroid dont use apple earlier new user hate first time after loved android always best for everythingthanks appario for good offer purchased on valentine offer only in 61499 rs thanks,delivery late take 6 day come delivery person good seee lot bad rating on seller after order think ll choose wrong seller appario good my phone come under good quality check everything amazon give open box delivery timepro camera osmbattery backup also good charge one time use heavy provide 7 hr chargecinematic mood also goodstar light colour osmdelivery person goodnight photo also good20 watt charge also good job take less time chargecon take whatsapp chat back on iphoneyou listen music download movie via any app no matter whatever isyou go open anything in iphone likeandroid do not use apple early new user hate first time after love android always good for everythingthank appario for good offer purchase on valentine offer only in 61499 r thank,True,POSITIVE,0.9972155094146729,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",
19,amarjeet,1,Battery problem,"I am facing battery problem. The battery drops 26% within 4 to 5 hours in ideal conditions, even with the internet off and no third-party apps downloaded.This is my first Apple phone. I have spent my hard-earned money and now I feel cheated.",Reviewed in India on 10 August 2024,/gp/customer-reviews/R1W9HG30XUOP5L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,20,India,10-08-2024,NEGATIVE,facing battery problem battery drops 26 within 4 5 hours in ideal conditions even with internet off no third party apps downloaded my first apple phone spent my hard earned money feel cheated,face battery problem battery drop 26 within 4 5 hour in ideal condition even with internet off no third party app download my first apple phone spend my hard earn money feel cheat,True,NEGATIVE,0.9994887113571167,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.9844074249267578, 'surprise': None}",sadness
20,Amazon Customer,5,"Nice phone ,",Working good,Reviewed in India on 12 August 2024,/gp/customer-reviews/R3KAQDZE8OFSJO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,21,India,12-08-2024,POSITIVE,working good,work good,False,POSITIVE,0.9987471103668213,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",
21,Amazon Customer,2,No airdrop and personal hotspot .,"I bought this iPhone 13 . There was a manufacturing defect as this phone doesn’tHavepersonal hotspot and Airdrop . It’s blocked , not turning on . Deception . I can’t afford this . I am now in foreign , my friend bought this iPhone . I am not in a position even to return this iPhone .",Reviewed in India on 2 July 2024,/gp/customer-reviews/R1293VGUFGE1PA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,22,India,02-07-2024,NEGATIVE,bought iphone 13 manufacturing defect phone doesn thavepersonal hotspot airdrop blocked not turning on deception afford in foreign my friend bought iphone not in position even return iphone,buy iphone 13 manufacturing defect phone doesn thavepersonal hotspot airdrop block not turn on deception afford in foreign my friend buy iphone not in position even return iphone,True,NEGATIVE,0.999488353729248,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",
22,Amazon Customer,2,Doubtful,Seals were teared but only stricker was put. I don't know whether it is new or refurbished but it's working 😕😕😕.,Reviewed in India on 21 July 2024,/gp/customer-reviews/R2QYG29TK95ACF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,23,India,21-07-2024,NEGATIVE,seals teared only stricker put know whether new refurbished working,seal tear only stricker put know whether new refurbish work,True,NEGATIVE,0.9971822500228882,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': 0.7610243558883667, 'sadness': None, 'surprise': None}",neutral
23,Amazon Customer,2,My device is not working need help,My device is not working (switched off)Iam not able to download Invoice and warranty documentHow can I get itService center asking the document,Reviewed in India on 14 February 2024,/gp/customer-reviews/R2TDE5OQNJ9WJR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,24,India,14-02-2024,NEGATIVE,my device not working switched off iam not able download invoice warranty documenthow get itservice center asking document,my device not work switch off iam not able download invoice warranty documenthow get itservice center ask document,True,NEGATIVE,0.9994975328445435,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.8438498377799988, 'surprise': None}",sadness
24,Amazon Customer,2,Discolouration around camera,"I bought the Midnight colour and Phone is working fine, but there is a white discolouration around the camera lenses. I contacted Amazon and they denied my replacement request said they want service denial letter from Apple to get it replaced .",Reviewed in India on 11 October 2023,/gp/customer-reviews/R1IBP737TXAGCU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,25,India,11-10-2023,NEGATIVE,bought midnight colour phone working fine white discolouration around camera lenses contacted amazon denied my replacement request said want service denial letter apple get replaced,buy midnight colour phone work fine white discolouration around camera lense contact amazon deny my replacement request say want service denial letter apple get replace,True,NEGATIVE,0.9992290735244751,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.7790807485580444, 'surprise': None}",sadness
25,Amazon Customer,2,Overrated,Touchpad is not working properly. Apple is a overrated phone. It has very less options.,Reviewed in India on 24 June 2023,/gp/customer-reviews/RBRKP5II8ZPHG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,26,India,24-06-2023,NEGATIVE,touchpad not working properly apple overrated phone less options,touchpad not work properly apple overrate phone less option,True,NEGATIVE,0.9994843006134033,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",
26,Amazon Customer,2,"Great product, poor customer service","The phone is great, the problem i faced is incorrect serial number in the invoice. Have been contacting customer service for more than a month, still not sorted! Would recommend everyone to check the serial number in the invoice with the actual product",Reviewed in India on 21 October 2022,/gp/customer-reviews/R2ZWYDG0EHQY8E/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,27,India,21-10-2022,NEGATIVE,phone great problem faced incorrect serial number in invoice contacting customer service for than month still not sorted would recommend everyone check serial number in invoice with actual product,phone great problem face incorrect serial number in invoice contact customer service for than month still not sorted would recommend everyone check serial number in invoice with actual product,True,NEGATIVE,0.9993625283241272,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",
27,Amazon Customer,1,Received with broken seal,Received iPhone 13 with broken seal,Reviewed in India on 21 June 2024,/gp/customer-reviews/R39D131A4R0DJJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,28,India,21-06-2024,NEGATIVE,received iphone 13 with broken seal,receive iphone 13 with broken seal,True,NEGATIVE,0.9993608593940735,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.7411872744560242, 'surprise': None}",sadness
28,Amazon Customer,1,"Heating and poor performance, slow system as well","Heating , sounds not goodOnly name and brand practical experience very poorPeople buying for status only… this is the practical experience with 90% users",Reviewed in India on 10 May 2024,/gp/customer-reviews/R2VLPU8U1AKTIM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,29,India,10-05-2024,NEGATIVE,heating sounds not goodonly name brand practical experience poorpeople buying for status only practical experience with 90 users,heating sound not goodonly name brand practical experience poorpeople buying for status only practical experience with 90 user,True,NEGATIVE,0.9994840621948242,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.7068493962287903, 'surprise': None}",sadness
29,Amazon Customer,1,Mobile heat and battery 93% just in 1 month,Mobile heat and battery 93% just in 1 month.. Kindly contact me how to change product,Reviewed in India on 30 March 2024,/gp/customer-reviews/R31PS3YECKBUEP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,30,India,30-03-2024,NEGATIVE,mobile heat battery 93 in 1 month kindly contact how change product,mobile heat battery 93 in 1 month kindly contact how change product,True,POSITIVE,0.9957154393196106,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': 0.8599997758865356, 'sadness': None, 'surprise': None}",neutral
30,Amazon Customer,1,Overheating Issue,"This phone is overheating while charging also it produce heat when we use in normal tasks,I don't know why this happening but there's is no support from Apple and when we click on replace button, it shows contact to the manufacturer, And when we trying to contact apple manufacturer by calling it show this number is not reachableI'm totally disappointed from this type of service .",Reviewed in India on 16 October 2023,/gp/customer-reviews/RII31RUSQEKKD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,31,India,16-10-2023,NEGATIVE,phone overheating charging also produce heat use in normal tasks know happening no support apple click on replace button shows contact manufacturer trying contact apple manufacturer by calling show number not reachablei m totally disappointed type service,phone overheat charging also produce heat use in normal task know happen no support apple click on replace button show contact manufacturer try contact apple manufacturer by call show number not reachablei m totally disappointed type service,True,NEGATIVE,0.9995056390762329,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.8869948983192444, 'surprise': None}",sadness
31,Amazon Customer,1,Digital heater after five minutes of use,Apple digital heater delivered and after deliveryapple is not responding and not taking any responsibility to cool down the heaterMy phone heating issue is not resolved by apple and seller has no options to return back. So please read all the warning before purchasing this product and do not waste your money on apple products,Reviewed in India on 16 October 2023,/gp/customer-reviews/R3E3K3OVJEG6YM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,32,India,16-10-2023,NEGATIVE,apple digital heater delivered after deliveryapple not responding not taking any responsibility cool heatermy phone heating issue not resolved by apple seller no options return back please read all warning before purchasing product not waste money on apple products,apple digital heater deliver after deliveryapple not respond not take any responsibility cool heatermy phone heating issue not resolve by apple seller no option return back please read all warning before purchase product not waste money on apple product,True,NEGATIVE,0.9995055198669434,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.7626667618751526, 'surprise': None}",sadness
32,Amazonnnnn,2,iOS is bad,"Not easy to use. it gets hot with charging, the battery life is poor, and it hangs. Very disappointed.",Reviewed in India on 29 November 2023,/gp/customer-reviews/R1B9SSWF3ZXO5L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,33,India,29-11-2023,NEGATIVE,not easy use gets hot with charging battery life poor hangs disappointed,not easy use get hot with charge battery life poor hang disappointed,True,NEGATIVE,0.999500036239624,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.9417819380760193, 'surprise': None}",sadness
33,Amek,4,Flip camera option nill,"I tried to flip camera while recording but no facility is added here. You have to pause first then you can flip from back to front or vice versa it means you can't continue it, very awkward position. Iphone software should be upgraded so that we can make it go. It's very essential for a content creator. I purchased gimbal dji om se but it could not provided that, it's very essential for a vlogger but I was fed up after finding the basic requirements wasn't built in these products !",Reviewed in India on 14 May 2024,/gp/customer-reviews/R3Y7TPOGMY40P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,34,India,14-05-2024,POSITIVE,tried flip camera recording no facility added pause first flip back front vice versa means continue awkward position iphone software upgraded make go essential for content creator purchased gimbal dji om se could not provided essential for vlogger fed after finding basic requirements wasn built in products,try flip camera recording no facility add pause first flip back front vice versa mean continue awkward position iphone software upgrade make go essential for content creator purchase gimbal dji om se could not provide essential for vlogger fed after find basic requirement wasn build in product,True,NEGATIVE,0.9994261264801025,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",
34,Amis tuscano,5,package and everything is fabulous,excellent product!! Amazon is great like jeff bezos,Reviewed in India on 25 July 2024,/gp/customer-reviews/RTA6F86IY0VCC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,35,India,25-07-2024,POSITIVE,excellent product amazon great like jeff bezos,excellent product amazon great like jeff bezos,True,POSITIVE,0.9988009929656982,"{'anger': None, 'disgust': None, 'fear': None, 'joy': 0.796809732913971, 'neutral': None, 'sadness': None, 'surprise': None}",joy
35,Amit,4,Camera quality is awesome 👍,I'm not a iPhone person but red colour is mine ♥️ my first iPhone purchase so I love camara quality ❣️ so happy with iPhone 13 🫶,Reviewed in India on 20 January 2024,/gp/customer-reviews/RORYJ4SGBNNO7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,36,India,20-01-2024,POSITIVE,m not iphone person red colour mine my first iphone purchase love camara quality happy with iphone 13,m not iphone person red colour mine my first iphone purchase love camara quality happy with iphone 13,True,POSITIVE,0.9986120462417603,"{'anger': None, 'disgust': None, 'fear': None, 'joy': 0.7893681526184082, 'neutral': None, 'sadness': None, 'surprise': None}",joy
36,amit kumar,1,Old mobile delivered,Mobile is hanging,Reviewed in India on 19 August 2024,/gp/customer-reviews/R2O6QY6YUAXCB6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,37,India,19-08-2024,NEGATIVE,mobile hanging,mobile hanging,False,NEGATIVE,0.9684343934059143,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': 0.8543097376823425, 'sadness': None, 'surprise': None}",neutral
