review_profile_name,review_rating,review_title,review_body,review_context,review_link,review_id,Place,Date,sentiment_label
Adnan,2,Phone is very good,I order 9 oct and receive 20 oct to late delivery from Amazon,Reviewed in India on 20 October 2023,/gp/customer-reviews/R1S1UBQSI0H13R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,13,India,20-10-2023,NEGATIVE
Aijazkhan,5,Ios,Good quality features 👍,Reviewed in India on 5 July 2024,/gp/customer-reviews/R1HXYFT2TA1K4J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,14,India,05-07-2024,POSITIVE
Aishwarya Narayanan,1,Super Disappointed: Completely stopped working after 1.5 years,"This was my first iPhone purchase and it was working fine for 1.5 years - although I had complains about the battery life which kept getting worse with time to the point that I had to carry a power bank with me always.Randomly one day out of the blue, the phone crashed & now it's not turning on - when I took it to the service centre they said it's due to motherboard issue and it will cost us 40k to replace it. My phone is prime condition, I have not dropped it, there is not even a scratch on it. I wonder how there can be a hardware issue while it was working fine just few moments before crash. Also, this happened a few days after I installed iOS 17 - so that is also a suspect.",Reviewed in India on 3 October 2023,/gp/customer-reviews/RY07A1820TUVO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,15,India,03-10-2023,NEGATIVE
Ajay kro,4,My favorite 😍💕,Nice phone delivered,Reviewed in India on 5 May 2024,/gp/customer-reviews/R3RLBT6089202/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,16,India,05-05-2024,POSITIVE
Ajay Kumar,2,Adaptor didnot work,"Adaptor supplied with it was not working, when taken to authorized service center they said the adaptor was fake.Do not bur adaptor with it.",Reviewed in India on 27 June 2023,/gp/customer-reviews/R1SESHPIVEXJMH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,17,India,27-06-2023,NEGATIVE
Akshay Mokashi,5,Awesome,Amazing design on the iPhone 13! It looks so sleek and stylish. The performance is also top-notch.,Reviewed in India on 8 October 2023,/gp/customer-reviews/R35BGB3PKZS1Z4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,18,India,08-10-2023,POSITIVE
Aman Singh,4,Delivery was late it's take 6 days but delivery person is to good,Delivery was late it's take 6 days to come but delivery person i very good i seee lots of bad rating on this seller after order i think I'll choose wrong seller but appario is doing good my phone comes under good quality i check everything Amazon give me open box delivery at that timePros :- camera was osmBattery backup is also good if you charge one time or you use heavy it's provided 7+ hr chargeCinematic mood is also to goodStar light colour is osmDelivery person is to goodNight photo is also good20 watt charge is also doing good job it's take less time to chargeCons :- you can't take WhatsApp chat back-up on iPhoneYou can't listen music or download movie via any app no matter whatever it isYou can't go open anything in iPhone likeAndroid if you dont use apple earlier or you are a new user you hate it first time but after that's you loved it but Android is always best for everythingThanks appario for good offer i purchased on valentine's offer only in 61499 rs thanks,Reviewed in India on 27 February 2023,/gp/customer-reviews/R1E4T5SFDI5KXH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,19,India,27-02-2023,POSITIVE
amarjeet,1,Battery problem,"I am facing battery problem. The battery drops 26% within 4 to 5 hours in ideal conditions, even with the internet off and no third-party apps downloaded.This is my first Apple phone. I have spent my hard-earned money and now I feel cheated.",Reviewed in India on 10 August 2024,/gp/customer-reviews/R1W9HG30XUOP5L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,20,India,10-08-2024,NEGATIVE
Amazon Customer,5,"Nice phone ,",Working good,Reviewed in India on 12 August 2024,/gp/customer-reviews/R3KAQDZE8OFSJO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,21,India,12-08-2024,POSITIVE
Amazon Customer,2,No airdrop and personal hotspot .,"I bought this iPhone 13 . There was a manufacturing defect as this phone doesn’tHavepersonal hotspot and Airdrop . It’s blocked , not turning on . Deception . I can’t afford this . I am now in foreign , my friend bought this iPhone . I am not in a position even to return this iPhone .",Reviewed in India on 2 July 2024,/gp/customer-reviews/R1293VGUFGE1PA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,22,India,02-07-2024,NEGATIVE
Amazon Customer,2,Doubtful,Seals were teared but only stricker was put. I don't know whether it is new or refurbished but it's working 😕😕😕.,Reviewed in India on 21 July 2024,/gp/customer-reviews/R2QYG29TK95ACF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,23,India,21-07-2024,NEGATIVE
Amazon Customer,2,My device is not working need help,My device is not working (switched off)Iam not able to download Invoice and warranty documentHow can I get itService center asking the document,Reviewed in India on 14 February 2024,/gp/customer-reviews/R2TDE5OQNJ9WJR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,24,India,14-02-2024,NEGATIVE
Amazon Customer,2,Discolouration around camera,"I bought the Midnight colour and Phone is working fine, but there is a white discolouration around the camera lenses. I contacted Amazon and they denied my replacement request said they want service denial letter from Apple to get it replaced .",Reviewed in India on 11 October 2023,/gp/customer-reviews/R1IBP737TXAGCU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,25,India,11-10-2023,NEGATIVE
Amazon Customer,2,Overrated,Touchpad is not working properly. Apple is a overrated phone. It has very less options.,Reviewed in India on 24 June 2023,/gp/customer-reviews/RBRKP5II8ZPHG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,26,India,24-06-2023,NEGATIVE
Amazon Customer,2,"Great product, poor customer service","The phone is great, the problem i faced is incorrect serial number in the invoice. Have been contacting customer service for more than a month, still not sorted! Would recommend everyone to check the serial number in the invoice with the actual product",Reviewed in India on 21 October 2022,/gp/customer-reviews/R2ZWYDG0EHQY8E/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,27,India,21-10-2022,NEGATIVE
Amazon Customer,1,Received with broken seal,Received iPhone 13 with broken seal,Reviewed in India on 21 June 2024,/gp/customer-reviews/R39D131A4R0DJJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,28,India,21-06-2024,NEGATIVE
Amazon Customer,1,"Heating and poor performance, slow system as well","Heating , sounds not goodOnly name and brand practical experience very poorPeople buying for status only… this is the practical experience with 90% users",Reviewed in India on 10 May 2024,/gp/customer-reviews/R2VLPU8U1AKTIM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,29,India,10-05-2024,NEGATIVE
Amazon Customer,1,Mobile heat and battery 93% just in 1 month,Mobile heat and battery 93% just in 1 month.. Kindly contact me how to change product,Reviewed in India on 30 March 2024,/gp/customer-reviews/R31PS3YECKBUEP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,30,India,30-03-2024,NEGATIVE
Amazon Customer,1,Overheating Issue,"This phone is overheating while charging also it produce heat when we use in normal tasks,I don't know why this happening but there's is no support from Apple and when we click on replace button, it shows contact to the manufacturer, And when we trying to contact apple manufacturer by calling it show this number is not reachableI'm totally disappointed from this type of service .",Reviewed in India on 16 October 2023,/gp/customer-reviews/RII31RUSQEKKD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,31,India,16-10-2023,NEGATIVE
Amazon Customer,1,Digital heater after five minutes of use,Apple digital heater delivered and after deliveryapple is not responding and not taking any responsibility to cool down the heaterMy phone heating issue is not resolved by apple and seller has no options to return back. So please read all the warning before purchasing this product and do not waste your money on apple products,Reviewed in India on 16 October 2023,/gp/customer-reviews/R3E3K3OVJEG6YM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,32,India,16-10-2023,NEGATIVE
Amazonnnnn,2,iOS is bad,"Not easy to use. it gets hot with charging, the battery life is poor, and it hangs. Very disappointed.",Reviewed in India on 29 November 2023,/gp/customer-reviews/R1B9SSWF3ZXO5L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,33,India,29-11-2023,NEGATIVE
Amek,4,Flip camera option nill,"I tried to flip camera while recording but no facility is added here. You have to pause first then you can flip from back to front or vice versa it means you can't continue it, very awkward position. Iphone software should be upgraded so that we can make it go. It's very essential for a content creator. I purchased gimbal dji om se but it could not provided that, it's very essential for a vlogger but I was fed up after finding the basic requirements wasn't built in these products !",Reviewed in India on 14 May 2024,/gp/customer-reviews/R3Y7TPOGMY40P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,34,India,14-05-2024,POSITIVE
Amis tuscano,5,package and everything is fabulous,excellent product!! Amazon is great like jeff bezos,Reviewed in India on 25 July 2024,/gp/customer-reviews/RTA6F86IY0VCC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,35,India,25-07-2024,POSITIVE
Amit,4,Camera quality is awesome 👍,I'm not a iPhone person but red colour is mine ♥️ my first iPhone purchase so I love camara quality ❣️ so happy with iPhone 13 🫶,Reviewed in India on 20 January 2024,/gp/customer-reviews/RORYJ4SGBNNO7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,36,India,20-01-2024,POSITIVE
amit kumar,1,Old mobile delivered,Mobile is hanging,Reviewed in India on 19 August 2024,/gp/customer-reviews/R2O6QY6YUAXCB6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,37,India,19-08-2024,NEGATIVE
Amit Mukhedkar,5,Superb phone,Over performance of the phone is nice,Reviewed in India on 23 July 2024,/gp/customer-reviews/R1QP82WM0T73QX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,38,India,23-07-2024,POSITIVE
Ananth Machiraju,5,The iPhone 13 is the new benchmark for flagship phones...!,"We're pretty confident when we say that the iPhone 13 is the best iPhone for most people. It may look like Apple has only changed the position of one of the phone's back cameras since last year's model, but trust us when we say that there are more substantial upgrades than that. With a new display, larger battery, and better camera hardware and software, the iPhone 13 is the new benchmark for flagship phones.Once again, Apple's made the iPhone 13 far more powerful than its Android competitors thanks to its 5G-ready A15 Bionic chip. If the raw performance doesn't interest you, photographers can play with the new Photographic Style filters in the camera app, while videographers will be excited by the new Cinematic mode focus-racking ability.The regular iPhone 13 has some flaws. The charging is still relatively slow compared to some Android phones. And I don't like that only the iPhone 13 Pro models get a 120Hz display and telephoto zoom. But based on my in-depth iPhone 13 review, this new iPhone is the best phone for the money.The overall display quality continues to be stellar. When watching the trailer for The Matrix Resurrections, I was mesmerized by the neon code encircling Neo as he walked down the street, and in another scene, I could make out individual hairs on Neo’s beard as he stared up into the sun.DISPLAY1. Smaller notch makes the display a bit more immersive2. Slightly different button placement3. Pink and blue are standout colors4. New Green color launched March 2022CAMERA1. Bright and colorful images beat Samsung2. Ultra-wide camera delivers more scenes and improved Night mode3. Photographic styles give you creative controlVIDEO1. Cinematic mode automatically changes focus on subjects while adding bokeh2. Superior Dolby Vision HDR video qualityPERFORMANCE and A15 Bionic1.A15 Bionic is the fastest chip once again2. Machine learning performance notably betterBATTERY LIFE1.10 hours and 33 minutes of battery life, which is 2 hours better than the iPhone 12Software1.SharePlay lets you watch videos and listen to music with friends2. Focus cuts down on distractionsVERDICT :The iPhone 13 improves on what was already the best iPhone for most people by introducing a bunch of welcome enhancements. I especially like the longer battery life, as the iPhone 12’s endurance was underwhelming even for a 5G phone. I wouldn’t recommend that iPhone 12 owners upgrade to the new iPhone, but the iPhone 13 is worth it if you own an iPhone 11 or older device.I don’t think many people will care about the smaller notch. What truly stands out on the iPhone 13 is the camera. The low-light performance is even better now, and computational photography features like Cinematic mode and Photographic styles flex the A15 Bionic’s muscles in ways that go way beyond benchmarks.I’m also glad Apple doubled the starting storage at 128GB, as that move was overdue and puts the new iPhone on par with Android flagships. I’d like to see Apple offering faster charging next time around — be it via USB-C or MagSafe — as well as a 120Hz display.The bottom line is that the iPhone 13 is a fantastic phone and raises the bar for what you think a camera phone can do.",Reviewed in India on 27 July 2022,/gp/customer-reviews/R3AREU80JEE5EO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,39,India,27-07-2022,POSITIVE
Ananya,1,Very bad,"I’m disappointed with the iPhone 13. It heats up a lot while charging, and the battery life isn’t as good as advertised. Also, it’s pricey for what it offers.",Reviewed in India on 23 March 2024,/gp/customer-reviews/R1B6EZH64E1KW5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,40,India,23-03-2024,NEGATIVE
Aniruddh Singh,2,Poor Wifi,"Wifi issue after 6-7 months, wifi remains connected but can't open any websites, after switching to mobile network, things works well",Reviewed in India on 3 August 2023,/gp/customer-reviews/RVPA95OE887Z6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,41,India,03-08-2023,NEGATIVE
Ankit,1,Worst Product. Extremely bad customer service,"Pathetic experience... Unable to hear any sound WhatsApp doesn't work, Facetime doesn't work, regular calling doesn't work. No response / assistance provided by Apple team.Regret to purchase.Waste of so much money in buying this useless device.",Reviewed in India on 14 April 2024,/gp/customer-reviews/R1KN63BUYA3QDC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,42,India,14-04-2024,NEGATIVE
Ankit Bisht,1,Heating issues,Phone is heating up in a normal day to day use. When using camera tempreture gets too high. When I called Amazon for support they ask me to contact the manufacturer. Now I am having to visit service centre for thisnew iphone for which I spent 49k approx. Please do not buy I have no idea what they are selling and manfacturing,Reviewed in India on 14 October 2023,/gp/customer-reviews/R18CSRI61TIQVL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,43,India,14-10-2023,NEGATIVE
Ankit kalbande,4,Quality,"Okay so talking about the phone, before the delivery i was worried about the product as i saw there were not many reviews from other buyers about the seller.. But delivery went well and i got the iPhone.No lies the phone is so far good but there's a catch when i unboxed the package the iPhone box had some dirt on it not too much but it was there then inside the box there was the phone which had some of dust particles on it i don't know how but the phone was sealed packed!!Now talking about the phone it's nice and it's been just one day of having it.. Will write a full review after a longer usage then conclude my thoughts on it but ya phone looks and feel in Starlight color is very premium. From switching Android to IOS it's bit a different feel can't explain that but yaa it'll take time to adjust.",Reviewed in India on 9 October 2023,/gp/customer-reviews/ROANMS8ORXVZ3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,44,India,09-10-2023,POSITIVE
Ankur Sharma,4,Battery issue,Battery quality is bad and hence didn’t last long even though using social media and no gaming at all,Reviewed in India on 24 May 2024,/gp/customer-reviews/R3813BGRHUV8O4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,45,India,24-05-2024,POSITIVE
anne,2,Should have went to a store,People warned me not buy electronics online. Should have listened.I've been an iPhone user since iPhone 3G. Always purchased at store. This one started showing little kinks right off the bat.The quality doesn't feel same as my other Apple products.,Reviewed in India on 30 October 2022,/gp/customer-reviews/R2SRM7Y6PC2J11/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,46,India,30-10-2022,NEGATIVE
Anshit,1,Worst Experience with Iphone,"Sold the phone on OLX after 6 monthsConsSummary============1. Bad notification center and management2. No back button3. Not able to pick calls sometime4. Worst file manager5. Poor keyboard auto-correct6. No credit card, tap and pay featureDetailed===============1. The notification center can become overwhelming, often leading to many unread notifications that can be easily missed.2. The absence of a back gesture makes navigation less intuitive and can be frustrating for users accustomed to this feature on other devices.3. The camera struggles to focus on small text, making it difficult to capture clear images of detailed documents or fine print.4. When the phone is locked, there's no option to decline incoming calls, which can be inconvenient in various situations.5. The phone's file sharing capabilities are restricted, offering fewer options compared to other devices, which can hinder productivity and convenience.6. The built-in file manager lacks functionality, particularly with no support for app-linked folders, making file organization and access cumbersome.7. Syncing with Google apps, especially Google Drive, isn't seamless and offers limited options, affecting the overall user experience and productivity for those who rely heavily on these services.8. The keyboard's autocorrect feature is always inaccurate and frustrating to use, making it advisable to switch it off for a better typing experience.9. The app placement on the home screen is terrible on the iPhone. Thanks for the update in iOS 18.10. No option to add credit or debit cards on Apple wallet or Google Pay for tap and pay feature. Available in all android devices.Pros===========1. No lag, every thing happens like snap2. Camera is so good4. Face id makes life easier.5. Haptics are excellent.6. Display is awesome.",Reviewed in India on 27 July 2024,/gp/customer-reviews/R1WXEWZMEADU48/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,47,India,27-07-2024,NEGATIVE
Antony.B,5,Nice Product F serious,I m satisfied with this beautiful product but I received F serious Serial number apart from signal issuetower issue rest phone work good,Reviewed in India on 4 August 2024,/gp/customer-reviews/R3R2BZUSWS7XCY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,48,India,04-08-2024,POSITIVE
Anuj,5,Really nice,Father gift,Reviewed in India on 8 July 2024,/gp/customer-reviews/R3M5730P0G9AZP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,49,India,08-07-2024,POSITIVE
ANUJ Verma,2,You should have given voice recording,I like colour but here is big problem call recoding is not available,Reviewed in India on 5 July 2022,/gp/customer-reviews/R34SZMNMG9Y33M/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,50,India,05-07-2022,NEGATIVE
ApTreX,5,Truly worth the money spent! Even if you go broke!,"My honest review after going broke buying this depreciating object.I have been using android phones since the last 10 years and finally decided to switch to iPhone! I used to roast iPhone for its prices, lack of features and also things like power adapter not given in box etc, but my last android phone (iqoo 7 legend) had lot of software related issues and battery issues after updating it to android 12, tired of bugs and software glitches in android, I finally decided to buy a iPhone and switch from android to iOS And Boy Was I right!I never even held an iPhone In my life before because of its price, but now I made a great choice even if I had to spend all my savings on it.iPhone 13 is so smooth that even my IQOO 7 Legend with 120hz feels slower than it even if iPhone has only 60hz. And I can’t believe what I’m seeing, all the games/apps are so much smoother and optimised than on android.I was very sceptical about the charging speed of an iPhone Because in Iqoo I had 66w fast charger where as for iPhone I had to buy 20w separate fast charger for 1800rs, but charging speed isn’t disappointing.Display quality is truly flagship level and I’m quite a fan of the small 6.1 display believe it or not, being able to reach the top of display with just one hand is very helpful, Build quality is great.I would recommend NOT to waste extra 40k for buying 13 pro. Because I don’t think having a extra camera telephoto lens is worth spending 40k.You can see in the 3rd image attached the quality of wide angle camera pic shot on my iPhone 13, wide angle camera struggles in low light, but main camera is really good, captures true colours. Front camera is really good too, truly flagship.Speakers are Great.Battery life is better than my previous devices,iOS is very optimised in terms of battery life, easy 8hrs sot on normal usage.NOTE : While playing BGMI you loose around 2% battery every 6minutes at HD + Extreme Graphics. Which is also good. Pro Max Would Be far better in terms of battery.For the software? Yes I feel like there are few downsides, even if the software is very smooth and has very less bugs, it has two annoying things : any game gets paused when you open control centre just to check the battery etc, Lock Screen is annoying and also having to reach the top left corner just to see notifications is also annoying, clearing all notifications is also very annoying.But other than that a perfect 10/10 purchase. I was very disappointed at myself when I paid for the iPhone but when I received it I was truly happy that I bought it.Truly worth it.",Reviewed in India on 6 February 2022,/gp/customer-reviews/R1ROPVLONGNUAZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,51,India,06-02-2022,POSITIVE
Arhaan,2,Not so bad,Phone is good but not worth the price. In this price segment you can get far better options in Android,Reviewed in India on 2 January 2024,/gp/customer-reviews/R82YSO7POHOOF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,52,India,02-01-2024,NEGATIVE
Arif Khan,1,USB Data Cable,Mobile Phone is Okey but USB Data Cable not good as you provide inbox 👎,Reviewed in India on 11 April 2024,/gp/customer-reviews/R151OYW1E4UFRO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,53,India,11-04-2024,NEGATIVE
Arijiit Das,1,Never buy apple product from Amazon,"I ordered this phone on 3rd may and got delivered on the same day. Its not even 24 hours now but I am facing touch issue on the right middle side of the phone. Having difficulty on sending messages and typing 9 on dialpad. Amazon told me they can only give a replacement if I get a delivery report and service report from iPlanet Care, so I got then and mailed them. Remember they bluntly said there are no refund on this. Now sometime back Amazon said they cant even give me a replacement also and its totally being handled by apple. So I have to go back into iplant care and get my screen replaced.MORAL OF THE STORY- Don't buy apple products from Amazon or Flipkart, always buy from apple authorized reseller. Even if the price is little high but you get an immediate replacement.",Reviewed in India on 4 May 2022,/gp/customer-reviews/R32TYBYSDHIY8J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,54,India,04-05-2022,NEGATIVE
Arjun,4,Very nice,It’s a awesome 😍,Reviewed in India on 7 June 2024,/gp/customer-reviews/R10BWXIUOZP3MS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,55,India,07-06-2024,POSITIVE
Arjun,2,Phone hangs a lot,"When over call and screen is black, phone hangs and then it take minutes to recover. Didn’t expected this from iphone.And also price dropped by 12000, just after I purchased. Even amazon didn’t provided any price review. So disappointing. Don’t buy",Reviewed in India on 7 September 2023,/gp/customer-reviews/RQ6A0A9VNOBXV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,56,India,07-09-2023,NEGATIVE
Arjun S.,1,Horrible,The delivery boy demanded Rs.500/- and after that only exchanged the phone,Reviewed in India on 16 June 2024,/gp/customer-reviews/R1YRXG8GCD4EA4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,57,India,16-06-2024,NEGATIVE
Arjun saini,5,Camera quality are osam,Best phone,Reviewed in India on 26 August 2024,/gp/customer-reviews/R2TB6A666WJVXQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,58,India,26-08-2024,POSITIVE
Arvind PINTO,1,BAD PRODUCT,"I purchased an Apple 13 from Amazon. The phone does not charge and while it charges it charges it vibrates. There is no warantyin the box. I am trying to contact a service centre, but the service centres say that since you have purchased it from Amazon you have to contact Amazon. Kindly let me know how do I get a warranty and who to contact for service of the phone",Reviewed in India on 6 August 2024,/gp/customer-reviews/R187L4X6O1UTIO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,59,India,06-08-2024,NEGATIVE
Ashish,5,Actually beast,It’s almost one year ago I bought this phoneMy battery health is 95%This gives me almost full day backup,Reviewed in India on 14 July 2024,/gp/customer-reviews/RPPTZHQCMVGIK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,60,India,14-07-2024,POSITIVE
